User_ID,User_Name,Preferred_Category,Preferred_Genre,Preferred_Tags
U001,Alex,Movie,Sci-Fi,"AI, Technology, Future"
U002,Sophia,Movie,Romance,"Love, Emotional, Relationships"
U003,Daniel,Movie,Crime,"Detective, Mystery, Investigation"
U004,Emma,Movie,Fantasy,"Magic, Adventure, Kingdom"
U005,Michael,Movie,Action,"Superheroes, Adventure, Hero"
U006,Olivia,Movie,Animation,"Family, Friendship, Adventure"
U007,James,Movie,Horror,"Mystery, Survival, Supernatural"
U008,Ava,Movie,Drama,"Inspirational, Life, Emotional"
U009,William,Movie,Thriller,"Investigation, Suspense, Mystery"
U010,Isabella,Movie,Comedy,"Humor, Friendship, Family"
U011,Henry,Movie,Sci-Fi,"Space, Exploration, Technology"
U012,Mia,Movie,Romance,"Music, Love, Dreams"
U013,Lucas,Movie,Crime,"Gangster, Power, Investigation"
U014,Charlotte,Movie,Fantasy,"Magic, Quest, Adventure"
U015,Benjamin,Movie,Action,"Military, War, Survival"
U016,Amelia,Movie,Animation,"Music, Family, Journey"
U017,Alexander,Movie,Horror,"Psychological, Mystery, Tension"
U018,Harper,Movie,Documentary,"History, Nature, Inspiration"
U019,Ethan,Movie,Mystery,"Detective, Clues, Investigation"
U020,Evelyn,Movie,Adventure,"Exploration, Journey, Survival"
